School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2010-2011,OREGON,4106300,Hermiston SD 8,,,584,Reading/Language Arts,77,2666,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4100023,Hillsboro SD 1J,,,583,Mathematics,63,10911,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4100023,Hillsboro SD 1J,,,584,Reading/Language Arts,80,10873,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106510,Hood River County SD,,,583,Mathematics,65,2156,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106510,Hood River County SD,,,584,Reading/Language Arts,81,2141,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106600,Huntington SD 16J,,,583,Mathematics,30-39,37,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106600,Huntington SD 16J,,,584,Reading/Language Arts,50-59,37,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106630,Imbler SD 11,,,583,Mathematics,70-74,172,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106630,Imbler SD 11,,,584,Reading/Language Arts,75-79,172,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4100047,Ione SD R2,,,583,Mathematics,65-69,101,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4100047,Ione SD R2,,,584,Reading/Language Arts,80-84,100,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106740,Jefferson County SD 509J,,,583,Mathematics,42,1475,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106740,Jefferson County SD 509J,,,584,Reading/Language Arts,61,1496,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106710,Jefferson SD 14J,,,583,Mathematics,54,471,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106710,Jefferson SD 14J,,,584,Reading/Language Arts,71,470,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106750,Jewell SD 8,,,583,Mathematics,50-54,90,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106750,Jewell SD 8,,,584,Reading/Language Arts,75-79,89,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106780,John Day SD 3,,,583,Mathematics,57,334,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106780,John Day SD 3,,,584,Reading/Language Arts,87,335,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106820,Jordan Valley SD 3,,,583,Mathematics,50-59,39,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106820,Jordan Valley SD 3,,,584,Reading/Language Arts,GE90,39,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106870,Joseph SD 6,,,583,Mathematics,65-69,112,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106870,Joseph SD 6,,,584,Reading/Language Arts,80-84,112,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106930,Junction City SD 69,,,583,Mathematics,62,880,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106930,Junction City SD 69,,,584,Reading/Language Arts,87,881,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106960,Juntura SD 12,,,583,Mathematics,GE50,9,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106960,Juntura SD 12,,,584,Reading/Language Arts,GE50,9,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107020,Klamath County SD,,,583,Mathematics,53,3407,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4107020,Klamath County SD,,,584,Reading/Language Arts,77,3411,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107080,Klamath Falls City Schools,,,583,Mathematics,50,1715,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4107080,Klamath Falls City Schools,,,584,Reading/Language Arts,76,1718,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4100040,Knappa SD 4,,,583,Mathematics,59,261,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4100040,Knappa SD 4,,,584,Reading/Language Arts,76,264,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107200,La Grande SD 1,,,583,Mathematics,60,1198,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4107200,La Grande SD 1,,,584,Reading/Language Arts,79,1194,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107280,Lake County SD 7,,,583,Mathematics,69,398,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4107280,Lake County SD 7,,,584,Reading/Language Arts,85,397,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107230,Lake Oswego SD 7J,,,583,Mathematics,88,3684,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4107230,Lake Oswego SD 7J,,,584,Reading/Language Arts,94,3676,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107380,Lebanon Community SD 9,,,583,Mathematics,54,2332,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4107380,Lebanon Community SD 9,,,584,Reading/Language Arts,78,2340,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107500,Lincoln County SD,,,583,Mathematics,54,2695,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4107500,Lincoln County SD,,,584,Reading/Language Arts,76,2690,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4107530,Long Creek SD 17,,,583,Mathematics,GE50,15,,All Students,All Students,,All Grades,Mathematics,,
